src_url,english_names,japanese_names
https://en.wikipedia.org/wiki/Shigeaki_Kato,Shigeaki Kato,加藤 シゲアキ
https://en.wikipedia.org/wiki/San%27y%C5%ABtei_Ench%C5%8D,Sanyutei Encho I,初代 三遊亭 圓朝(円朝)
https://en.wikipedia.org/wiki/Terada_Torahiko,Torahiko Terada,寺田 寅彦
https://en.wikipedia.org/wiki/Paul_Hisao_Yasuda,Paul Hisao Yasuda,パウロ 安田 久雄
https://en.wikipedia.org/wiki/Seiko_Matsuda,Seiko Matsuda,松田 聖子
https://en.wikipedia.org/wiki/Rino_Sashihara,Rino Sashihara,指原 莉乃
https://en.wikipedia.org/wiki/Takeo_Fukuda,Takeo Fukuda,福田 赳夫
https://en.wikipedia.org/wiki/Kawase_Tomoko,Tomoko Kawase,川瀬 智子
https://en.wikipedia.org/wiki/Korechika_Anami,Korechika Anami,阿南 惟幾
https://en.wikipedia.org/wiki/Kenji_Doihara,Kenji Doihara,土肥原 賢二
https://en.wikipedia.org/wiki/Hyde_(musician),Hideto Takarai,寶井 秀人
https://en.wikipedia.org/wiki/Nui_Onoue,Nui Onoue,尾上縫
https://en.wikipedia.org/wiki/Tokugawa_Ienobu,Tokugawa Ienobu,徳川 家宣
https://en.wikipedia.org/wiki/Kawakami_Gensai,Kawakami Gensai,河上 彦斎
https://en.wikipedia.org/wiki/Tokugawa_Ieyoshi,Tokugawa Ieyoshi,徳川 家慶
https://en.wikipedia.org/wiki/Maeda_Nagatane,Maeda Nagatane,前田 長種
https://en.wikipedia.org/wiki/Araki_Murashige,Araki Murashige,荒木 村重
https://en.wikipedia.org/wiki/Megumi,Megumi,めぐみ
https://en.wikipedia.org/wiki/Keito_Okamoto,Keito Okamoto,岡本 圭人
https://en.wikipedia.org/wiki/Yasuke,Yasuke,弥助; 弥介
https://en.wikipedia.org/wiki/Mirei_Kiritani,Mirei Kiritani,桐谷 美玲
https://en.wikipedia.org/wiki/Nagao_Masakage,Nagao Masakage,長尾 政景
https://en.wikipedia.org/wiki/Tokugawa_Tsunayoshi,Tokugawa Tsunayoshi,徳川 綱吉
https://en.wikipedia.org/wiki/Ayumi_Ishida_(Morning_Musume_member),Ayumi Ishida,石田亜佑美
https://en.wikipedia.org/wiki/Megumi_Odaka,Megumi Odaka,小高恵美
https://en.wikipedia.org/wiki/Haruka_Kudo_(singer),Haruka Kudō,工藤遥
https://en.wikipedia.org/wiki/Mori_Yoshinari,Mori Yoshinari,森 可成
https://en.wikipedia.org/wiki/Junichiro_Koizumi,Junichiro Koizumi,小泉 純一郎
https://en.wikipedia.org/wiki/Jun_Matsumoto,Jun Matsumoto,松本 潤
https://en.wikipedia.org/wiki/Koichi_Tanaka,Koichi Tanaka,田中 耕一
https://en.wikipedia.org/wiki/Kyosuke_Himuro,Kyosuke Himuro,氷室 京介
https://en.wikipedia.org/wiki/%C5%8Cuchi_Hy%C5%8Dei,Ōuchi Hyōei,大内 兵衛
https://en.wikipedia.org/wiki/%C5%8Ctomo_S%C5%8Drin,Ōtomo Sōrin,大友 宗麟
https://en.wikipedia.org/wiki/Miki_Fujimoto,Miki Shōji,庄司 美貴
https://en.wikipedia.org/wiki/Tanzan_Ishibashi,Tanzan Ishibashi,石橋 湛山
https://en.wikipedia.org/wiki/Ryo_Nishikido,Ryo Nishikido,錦戸 亮
https://en.wikipedia.org/wiki/Sait%C5%8D_Yoshitatsu,Saitō Yoshitatsu,斎藤 義龍
https://en.wikipedia.org/wiki/Takashi_Yuasa,Takashi Yuasa,湯浅 卓
https://en.wikipedia.org/wiki/Sin-Itiro_Tomonaga,Shinichiro Tomonaga,朝永 振一郎
https://en.wikipedia.org/wiki/Shimazu_clan,The Shimazu clan,島津氏
https://en.wikipedia.org/wiki/Bessho_Nagaharu,Bessho Nagaharu,別所 長治
https://en.wikipedia.org/wiki/Rina_Akiyama,Rina Akiyama,秋山 莉奈
https://en.wikipedia.org/wiki/Anna_Umemiya,Anna Umemiya,梅宮 アンナ
https://en.wikipedia.org/wiki/Keisuke_Ogihara,Keisuke Ilmari Ogihara,荻原イルマリ恵介
https://en.wikipedia.org/wiki/Tsuyoshi_Kusanagi,Tsuyoshi Kusanagi,草彅 剛
https://en.wikipedia.org/wiki/Tsukahara_Bokuden,Tsukahara Bokuden,塚原 卜伝
https://en.wikipedia.org/wiki/Petro_Kasui_Kibe,Peter Kibe,ペトロ岐部
https://en.wikipedia.org/wiki/Ayaka_Komatsu,Ayaka Komatsu,小松 彩夏
https://en.wikipedia.org/wiki/Masahisa_Fujita,Masahisa Fujita,藤田 昌久
https://en.wikipedia.org/wiki/Stephen_Fumio_Hamao,Stephen Fumio Hamao,濱尾 文郎 Hamao Fumio
https://en.wikipedia.org/wiki/Kakuei_Tanaka,Kakuei Tanaka,田中 角栄; 田中 角榮
https://en.wikipedia.org/wiki/Kantar%C5%8D_Suzuki,Kantarō Suzuki,鈴木 貫太郎
https://en.wikipedia.org/wiki/Shingo_Murakami,Shingo Murakami,村上 信五
https://en.wikipedia.org/wiki/Ry%C5%8Dkan,Ryōkan Taigu,良寛大愚
https://en.wikipedia.org/wiki/Takasugi_Shinsaku,Takasugi Shinsaku,高杉 晋作
https://en.wikipedia.org/wiki/Kiyoshi_Kawakami,"Kiyoshi ""Karl"" Kawakami",河上 清
https://en.wikipedia.org/wiki/End%C5%8D_Naotsune,Endō Naotsune,遠藤 直経
https://en.wikipedia.org/wiki/Yamato_Takeru,Yamato Takeru,ヤマトタケルノミコト
https://en.wikipedia.org/wiki/Kusumi_Koharu,Koharu Kusumi,久住 小春
https://en.wikipedia.org/wiki/Eisaku_Sat%C5%8D,Eisaku Satō,佐藤 榮作
https://en.wikipedia.org/wiki/Kanbe_Miyuki,Miyuki Kanbe,神戸 みゆき
https://en.wikipedia.org/wiki/Itagaki_Nobukata,Itagaki Nobukata,板垣 信方
https://en.wikipedia.org/wiki/Yoshihiko_Noda,Yoshihiko Noda,野田 佳彦
https://en.wikipedia.org/wiki/Ikur%C5%8D_Teshima,Abraham Ikurō Teshima,手島アブラハム郁郎
https://en.wikipedia.org/wiki/Keisuke_Okada,Keisuke Okada,岡田 啓介
https://en.wikipedia.org/wiki/Masao_Miyamoto,Masao Miyamoto,宮本 政於
https://en.wikipedia.org/wiki/Kiichi_Miyazawa,Kiichi Miyazawa,宮澤 喜一
https://en.wikipedia.org/wiki/Empress_Jing%C5%AB,Empress Jingū,神功皇后
https://en.wikipedia.org/wiki/Niwa_Nagahide,Niwa Nagahide,丹羽 長秀
https://en.wikipedia.org/wiki/Yamada_Arinaga,Yamada Arinaga,山田 有栄
https://en.wikipedia.org/wiki/Mitsumasa_Yonai,Mitsumasa Yonai,米内 光政
https://en.wikipedia.org/wiki/M%C5%8Dri_Terumoto,Mōri Terumoto,毛利 輝元
https://en.wikipedia.org/wiki/Tokugawa_Ieyasu,Tokugawa Ieyasu,德川家康
https://en.wikipedia.org/wiki/Morito_Tatsuo,Morito Tatsuo,森戸 辰男
https://en.wikipedia.org/wiki/Tokugawa_Nariaki,Tokugawa Nariaki,徳川 斉昭
https://en.wikipedia.org/wiki/Yuichi_Nakamaru,Yūichi Nakamaru,中丸雄一
https://en.wikipedia.org/wiki/Kawabe_Chieco,Chieko Ochi,越智 千恵子
https://en.wikipedia.org/wiki/Takayama_Shigetomo,Justo Takayama Ukon,ジュスト高山右近
https://en.wikipedia.org/wiki/Erika_Sawajiri,Erika Sawajiri,沢尻 エリカ
https://en.wikipedia.org/wiki/Sayaka_Kanda,Sayaka Kanda,神田 沙也加
https://en.wikipedia.org/wiki/Yuuri_Chinen,Yuri Chinen,知念 侑李
https://en.wikipedia.org/wiki/Niiro_Tadamoto,Niiro Tadamoto,新納 忠元
https://en.wikipedia.org/wiki/Umika_Kawashima,Umika Kawashima,川島 海荷
https://en.wikipedia.org/wiki/Akiyama_Nobutomo,Akiyama Nobutomo,秋山 信友
https://en.wikipedia.org/wiki/Yui_Hiwatashi,Yui Hiwatashi,樋渡結依
https://en.wikipedia.org/wiki/Shimada_Ichir%C5%8D,Shimada Ichirō,島田 一郎
https://en.wikipedia.org/wiki/Sasaki_Kojir%C5%8D,Sasaki Kojirō,佐々木 小次郎
https://en.wikipedia.org/wiki/Hideki_T%C5%8Dj%C5%8D,Hideki Tojo,東條 英機
https://en.wikipedia.org/wiki/Ryuichi_Sakamoto,Ryuichi Sakamoto,坂本 龍一
https://en.wikipedia.org/wiki/Chihiro_Onitsuka,Chihiro Onitsuka,鬼束 ちひろ
https://en.wikipedia.org/wiki/Hitotsubashi_Keiki,Prince Tokugawa Yoshinobu,徳川 慶喜
https://en.wikipedia.org/wiki/Kanata_Hong%C5%8D,Kanata Hongō,本郷 奏多
https://en.wikipedia.org/wiki/Kusunoki_Masashige,Kusunoki Masashige,楠木 正成
https://en.wikipedia.org/wiki/Nobuyuki_Abe,Nobuyuki Abe,阿部 信行
https://en.wikipedia.org/wiki/Chiaki_Kuriyama,Chiaki Kuriyama,栗山 千明
https://en.wikipedia.org/wiki/Erina_Ikuta,Erina Ikuta,生田 衣梨奈
https://en.wikipedia.org/wiki/Koichi_Domoto,Koichi Domoto,堂本 光一
https://en.wikipedia.org/wiki/Miki_Jinbo,Miki Jinbo,神保 美喜
https://en.wikipedia.org/wiki/Takeshi_Amemiya,Takeshi Amemiya,雨宮 健
https://en.wikipedia.org/wiki/Shiori_Tamai,Shiori Tamai,玉井 詩織
https://en.wikipedia.org/wiki/Mew_Azama,Mew Azama,安座間 美優
